"Note: Perks are displayed in order of importance. Rows are PvE on top, PvP below",,,,,,,,,
,,,,,,,,,
Has no fill - primary ammo,,,,,,,,,
Has green fill - special ammo,,,,,,,,,
Has purple fill - heavy ammo,,,,,,,,,
,,,,,,,,,
Name,Type,Archetype,Element,Sights/Barrels,Magazine,Perk 1,Perk 2,Masterwork,Activity
Contact Public Event,,,,,,,,,
False Promises,Auto Rifle,High-Impact,Kinetic,"Fluted Barrel, Smallbore, Hammer-Forged Rifling","Appended Mag, Light Mag, Extended Mag","Feeding Frenzy, Overflow, Subsistence","Rampage, Swashbuckler, Unrelenting",Reload,"PvE,MnK"
,,,,"Fluted Barrel, Smallbore, Hammer-Forged Rifling","High-Caliber Rounds, Ricochet Rounds, Light Mag","Dynamic Sway Reduction, Killing Wind, Feeding Frenzy","Unrelenting, Swashbuckler, Sympathetic Arsenal",Range,"PvP,MnK"
,,,,,,,,,
Whispering Slab,Combat Bow,Lightweight,Kinetic,"Polymer String, Natural String, Agile Bowstring","Compact Arrow Shaft, Straight Fletching, Fiberglass Arrow Shaft","Archer's Tempo, Quickdraw, Killing Wind","Swashbuckler, Demolitionist, Vorpal Weapon",Handling,"PvE,MnK"
,,,,"Elastic String, Flexible String, Polymer String","Fiberglass Arrow Shaft, Straight Fletching, Helical Fletching","Archer's Tempo, Firmly Planted, Killing Wind","Opening Shot, Unrelenting, Vorpal Weapon",Draw Time,"PvP,MnK"
,,,,,,,,,
"First In, Last Out",Shotgun,Precision - Slug,Arc,"Fluted Barrel, Hammer-Forged Rifling, Smallbore","Assault Mag, Tactical Mag, Appended Mag","Outlaw, Auto-Loading Holster","Vorpal Weapon, Demolitionist",Reload,"PvE,MnK"
,,,,"Fluted Barrel, Smallbore, Full Bore","Assault Mag, Accurized Rounds","Slideshot, Outlaw, Hip-Fire Grip","Opening Shot, Vorpal Weapon",Handling,"PvP,MnK"
,,,,,,,,,
Hollow Words,Fusion Rifle,Precision,Arc,"Fluted Barrel, Hammer-Forged Rifling, Smallbore","Ionized Battery, Enhanced Battery, Liquid Coils","Feeding Frenzy, Lead from Gold","Vorpal Weapon, Disruption Break, Unrelenting",Reload,"PvE,MnK"
,,,,"Fluted Barrel, Arrowhead Brake, Smallbore","Particle Repeater, Projection Fuse","Quickdraw, Killing Wind","Disruption Break, Vorpal Weapon, Unrelenting",Handling,"PvP,MnK"
,,,,,,,,,
IKELOS_SMG_V1.0.2,Submachine Gun,Aggressive,Arc,"Fluted Barrel, Smallbore, Corkscrew Rifling","Appended Mag, Tactical Mag, Extended Mag","Threat Detector, Subsistence, Grave Robber","Demolitionist, Vorpal Weapon, Disruption Break",Reload,"PvE,MnK"
,,,,"Hammer-Forged Rifling, Smallbore, Corkscrew Rifling","Seraph Rounds, Accurized Rounds, Tactical Mag",Dynamic Sway Reduction,"Tap the Trigger, Demolitionist, Vorpal Weapon",Range,"PvP,MnK"
,,,,,,,,,
IKELOS_SR_v1.0.2,Sniper Rifle,Rapid-Fire,Solar,"Fluted Barrel, Arrowhead Brake, Corkscrew Rifling","Appended Mag, Extended Mag, Tactical Mag","Fourth Time's the Charm, Triple Tap, Feeding Frenzy","High-Impact Reserves, Box Breathing",Reload,"PvE,MnK"
,,,,"Hammer-Forged Rifling, Fluted Barrel, Full Bore","Seraph Rounds, Accurized Rounds, Tactical Mag","Moving Target, No Distractions","Quickdraw, Box Breathing",Range,"PvP,MnK"
,,,,,,,,,
