"Note: Perks are displayed in order of importance. Rows are PvE on top, PvP below",,,,,,,,,
,,,,,,,,,
Has no fill - primary ammo,,,,,,,,,
Has green fill - special ammo,,,,,,,,,
Has purple fill - heavy ammo,,,,,,,,,
,,,,,,,,,
Name,Type,Archetype,Element,Sights/Barrels,Magazine,Perk 1,Perk 2,Masterwork,Activity
Ritual Weapons,,,,,,,,,
Buzzard,Sidearm,Adaptive,Kinetic,Extended Barrel,Alloy Mag,"Overflow, Outlaw","Swashbuckler, Osmosis",Stability,"PvE,MnK"
,,,,Extended Barrel,Alloy Mag,"Overflow, Outlaw","Swashbuckler, Osmosis",Stability,"PvP,MnK"
,,,,,,,,,
Python,Shotgun,Aggressive,Void,Smallbore,Extended Mag,"Overflow, Feeding Frenzy","One-Two Punch, Shield Disorient",Reload,"PvE,MnK"
,,,,Smallbore,Extended Mag,"Feeding Frenzy, Overflow","One-Two Punch, Shield Disorient",Reload,"PvP,MnK"
,,,,,,,,,
Komodo-4FR,Fusion Rifle,Precision,Solar,Polygonal Rifling,Accelerated Coils,"No Distractions, Moving Target","Box Breathing, Eye of the Storm",Charge Time | Impact,"PvE,MnK"
,,,,Polygonal Rifling,Accelerated Coils,"Moving Target, No Distractions","Eye of the Storm, Box Breathing",Charge Time | Impact,"PvP,MnK"
,,,,,,,,,
,,,,,,,,,
Returning Weapons,,,,,,,,,
Hawthorn's Field Forged Shotgun,Shotgun,Lightweight,Kinetic,"Barrel Shroud, Corkscrew Rifling, Smallbore","Tactical Mag, Assault Mag, Light Mag","Field Prep, Full Auto Trigger System, Grave Robber","One-Two Punch, Demolitionist, Surrounded",Reload,"PvE,MnK"
,,,,"Full Choke, Rifled Barrel","Assault Mag, Accurized Rounds","Full Auto Trigger System, Grave Robber","Opening Shot, Demolitionist, One-Two Punch",Range,"PvP,MnK"
,,,,,,,,,
Old Fashioned,Hand Cannon,Adaptive,Kinetic,"Fastdraw HCS, Truesight HCS, Hitmark HCS","Tactical Mag, Appended Mag, Extended Mag, Flared Magwell","Feeding Frenzy, Demolitionist, Slideshot","Kill Clip, Surrounded, Snapshot Sights",Reload,"PvE,MnK"
,,,,"Fastdraw HCS, Steadyhand HCS","Accurized Rounds, Tactical Mag","Quickdraw, Demolitionist, Feeding Frenzy, Firmly Planted, Slideshot","Kill Clip, Explosive Payload, Snapshot, Moving Target",Handling,"PvP,MnK"
,,,,,,,,,
Perfect Paradox,Shotgun,Rapid-Fire,Kinetic,"Barrel Shroud, Corkscrew Rifling, Smallbore","Tactical Mag, Appended Mag, Extended Mag","Demolitionist, Field Prep, Slideshot","One-Two Punch, Swashbuckler, Trench Barrel",Reload,"PvE,MnK"
,,,,"Full Choke, Rifled Barrel","Light Mag, Tactical Mag, Accurized Rounds","Demolitionist, Slideshot","Opening Shot, Swashbuckler, One-Two Punch",Range,"PvP,MnK"
,,,,,,,,,
Elatha FR4,Fusion Rifle,High-Impact,Solar,"Torch HS3, Candle PS, Spark PS","Enhanced Battery, Liquid Coils","Quickdraw, Field Prep, Firmly Planted","Demolitionist, Kill Clip, Surrounded",Reload,"PvE,MnK"
,,,,Torch HS3,"Particle Repeater, Liquid Coils, Projection Fuse","Firmly Planted, Quickdraw, No Distractions","Demolitionist, Snapshot",Stability,"PvP,MnK"
,,,,,,,,,
Infinite Paths 8,Pulse Rifle,Lightweight,Arc,"Fluted Barrel, Arrowhead Brake, Chambered Compensator","Tactical Mag, Flared Magwell, Accurized Rounds","Demolitionist, Genesis","Swashbuckler, Dragonfly, Zen Moment",Reload,"PvE,MnK"
,,,,"Extended Barrel, Chambered Compensator, Smallbore",Accurized Rounds,"Demolitionist, Moving Target","Eye of the Storm, Swashbuckler, Zen Moment",Range,"PvP,MnK"
,,,,,,,,,
Jack Queen King 3,Hand Cannon,Lightweight,Arc,"Fastdraw HCS, Truesight HCS, Hitmark HCS","High-Caliber Rounds, Ricochet Rounds, Armor Piercing Rounds","Demolitionist, Subsistence","Dragonfly, Swashbuckler, Rampage",Reload,"PvE,MnK"
,,,,"Fastdraw HCS, Steadyhand HCS","High-Caliber Rounds, Ricochet Rounds","Demolitionist, Threat Detector","Swashbuckler, Snapshot Sights",Handling,"PvP,MnK"
,,,,,,,,,
Last Hope,Sidearm,Omolon Burst,Arc,"Quickdot SAS, Control SAS, Shortspec SAS","Appended Mag, High-Caliber Rounds, Flared Magwell","Feeding Frenzy, Quickdraw","Multikill Clip, Rampage, Dragonfly",Reload,"PvE,MnK"
,,,,"Farpoint SAS, Target SAS, Tactic SAS","High-Caliber Rounds, Ricochet Rounds","Rangefinder, Quickdraw, Feeding Frenzy","Tap the Trigger, Multikill Clip, Zen Moment",Range,"PvP,MnK"
,,,,,,,,,
Traveler's Judgement 5,Sidearm,Adaptive,Arc,"Quickdot SAS, Control SAS, Shortspec SAS","Appended Mag, High-Caliber Rounds, Flared Magwell","Rapid Hit, Feeding Frenzy","Disruption Break, Dragonfly, Surrounded",Reload,"PvE,MnK"
,,,,"Farpoint SAS, Target SAS, Tactic SAS","High-Caliber Rounds, Ricochet Rounds","Rapid Hit, Feeding Frenzy, Firmly Planted","Tap the Trigger, Headseeker",Range,"PvP,MnK"
,,,,,,,,,
Uriel's Gift,Auto Rifle,Precision,Arc,"Torch HS3, Candle PS, Spark PS","High-Caliber Rounds, Ricochet Rounds, Armor Piercing Rounds","Field Prep, Quickdraw, Firmly Planted","Kill Clip, Disruption Break, Tap the Trigger",Reload,"PvE,MnK"
,,,,Torch HS3,"High-Caliber Rounds, Ricochet Rounds","Firmly Planted, Quickdraw","Kill Clip, Tap the Trigger, Moving Target",Range,"PvP,MnK"
,,,,,,,,,
Mos Epoch III,Rocket Launcher,Aggressive,Arc,"Quick Launch, Smart Drift Control, Hard Launch","Impact Casing, Alloy Casing","Auto-Loading Holster, Tracking Module","Cluster Bomb, Disruption Break, Quickdraw",Reload or Velocity,"PvE,MnK"
,,,,"Volatile Launch, Confined Launch, Linear Compensator",Black Powder,"Tracking Module, Auto-Loading Holster","Quickdraw, Cluster Bomb",Blast Radius,"PvP,MnK"
,,,,,,,,,
,,,,,,,,,
Sundial Weapons,,,,,,,,,
Breechlight,Sidearm,Aggressive,Kinetic,"Fluted Barrel, Smallbore, Hammer-Forged Rifling","Tactical Mag, Appended Mag","Demolitionist, Outlaw","Multikill Clip, Osmosis, Quickdraw, Vorpal Weapon",Reload,"PvE,MnK"
,,,,"Hammer-Forged Rifling, Smallbore, Extended Barrel","Accurized Rounds, Appended Mag","Demolitionist, Outlaw","Vorpal Weapon, Quickdraw, Multikill Clip",Range,"PvP,MnK"
,,,,,,,,,
Patron of Lost Causes,Scout Rifle,Lightweight,Kinetic,"Hammer-Forged Rifling, Smallbore, Corkscrew Rifling","Tactical Mag, Appended Mag","Rapid Hit, Full Auto Trigger System","Vorpal Weapon, Explosive Payload, Osmosis",Reload,"PvE,MnK"
,,,,"Smallbore, Hammer-Forged Rifling, Fluted Barrel","Accurized Rounds, Tactical Mag",Rapid Hit,"Opening Shot, Explosive Payload, Vorpal Weapon",Range,"PvP,MnK"
,,,,,,,,,
Steelfeather Repeater,Auto Rifle,Rapid-Fire,Kinetic,"Extended Barrel, Hammer-Forged Rifling, Smallbore","High-Caliber Rounds, Armor-Piercing Rounds, Appended Mag","Feeding Frenzy, Firmly Planted, Subsistence","Multikill Clip, Swashbuckler, Vorpal Weapon",Reload,"PvE,MnK"
,,,,"Full Bore, Hammer-Forged Rifling, Smallbore","High-Caliber Rounds, Ricochet Rounds","Feeding Frenzy, Firmly Planted","Swashbuckler, Vorpal Weapon, Elemental Capacitor",Range,"PvP,MnK"
,,,,,,,,,
Gallant Charge,Fusion Rifle,High-Impact,Solar,"Fluted Barrel, Hammer-Forged Rifling, Smallbore","Liquid Coils, Enhanced Battery","Demolitionist, Auto-Loading Holster","Swashbuckler, Multikill Clip, Lead from Gold",Reload,"PvE,MnK"
