"Note: Perks are displayed in order of importance. Rows are PvE on top, PvP below",,,,,,,,,
,,,,,,,,,
Has no fill - primary ammo,,,,,,,,,
Has green fill - special ammo,,,,,,,,,
Has purple fill - heavy ammo,,,,,,,,,
,,,,,,,,,
Name,Type,Archetype,Element,Sights/Barrels,Magazine,Perk 1,Perk 2,Masterwork,Activity
Pinnacle Weapons,,,,,,,,,
Oxygen SR3,Scout Rifle,Lightweight,Solar,Polygonal Rifling,Accurized Rounds,Dragonfly,Meganeura,Range,PvE
,,,,Polygonal Rifling,Accurized Rounds,Dragonfly,Meganeura,Range,PvP
,,,,,,,,,
The Recluse,Submachine Gun,Lightweight,Void,Polygonal Rifling,Ricochet Rounds,Feeding Frenzy,Master of Arms,Range,PvE
,,,,Polygonal Rifling,Ricochet Rounds,Feeding Frenzy,Master of Arms,Range,PvP
,,,,,,,,,
21% Delirium,Machine Gun,Rapid-Fire,Arc,Polygonal Rifling,Extended Mag,Overflow,Killing Tally,Stability,PvE
,,,,Polygonal Rifling,Extended Mag,Overflow,Killing Tally,Stability,PvP
,,,,,,,,,
,,,,,,,,,
Gambit Prime,,,,,,,,,
Lonesome,Sidearm,Precision,Kinetic,"Fluted Barrel, Corkscrew Rifling, Polygonal Rifling","Appended Mag, Extended Mag, Light Mag","Rapid Hit, Outlaw","Kill Clip, Multikill Clip, Demolitionist, Swashbuckler",Reload,PvE
,,,,"Hammer-Forged Rifling, Extended Barrel, Chambered Compensator","Ricochet Rounds, High-Caliber Rounds, Light Mag","Rapid Hit, Full Auto Trigger System, Zen Moment","Kill Clip, Swashbuckler, Demolitionist",Range,PvP
,,,,,,,,,
Night Watch,Scout Rifle,Lightweight,Kinetic,"Arrowhead Brake, Fluted Barrel, Corkscrew Rifling","Tactical Mag, Appended Mag, Extended Mag","Rapid Hit, Outlaw, Subsistence","Rampage, Demolitionist, Multikill Clip",Reload,PvE
,,,,"Arrowhead Brake, Extended Barrel, Chambered Compensator","Tactical Mag, Steady Rounds, Accurized Rounds","Rapid Hit, Outlaw","Explosive Rounds, Moving Target, Demolitionist",Handling,PvP
,,,,,,,,,
Spare Rations,Hand Cannon,Lightweight,Kinetic,"Fluted Barrel, Corkscrew Rifling","Appended Mag, Extended Mag","Rapid Hit, Subsistence","Rampage, Multikill Clip, Swashbuckler, Kill Clip",Reload,PvE
,,,,"Fluted Barrel, Polygonal Rifling, Smallbore","Ricochet Rounds, High-Caliber Rounds",Rapid Hit,"Rangefinder, Moving Target, Kill Clip",Handling,PvP
,,,,,,,,,
Bug-Out Bag,Submachine Gun,Adaptive,Solar,"Fluted Barrel, Chambered Compensator, Extended Barrel","Tactical Mag, Appended Mag, Extended Mag","Zen Moment, Grave Robber, Subsistence","Demolitionist, Multikill Clip, Swashbuckler, High-Impact Reserves",Reload,PvE
,,,,"Chambered Compensator, Extended Barrel, Smallbore","Accurized Rounds, Tactical Mag, Steady Rounds",Zen Moment,"Demolitionist, Moving Target, Slideways",Stability,PvP
,,,,,,,,,
Gnawing Hunger,Auto Rifle,Adaptive,Void,"Arrowhead Brake, Fluted Barrel, Corkscrew Rifling","Tactical Mag, Appended Mag, Extended Mag","Field Prep, Subsistence, Auto-Loading Holster","Rampage, Demolitonist, Multikill Clip, Kill Clip, Swashbucker",Reload,PvE
,,,,"Arrowhead Brake, Chambered Compensator, Extended Barrel","Accurized Rounds, Steady Rounds","Tap the Trigger, Zen Moment","Kill Clip, Demolitionist",Range,PvP
,,,,,,,,,
Last Man Standing,Shotgun,Aggressive,Solar,"Barrel Shroud, Corkscrew Rifling, Smallbore","Assault Mag, Tactical Mag, Appended Mag","Grave Robber, Field Prep","Rampage, One-Two Punch, Demolitionist, Swashbuckler",Reload,PvE
,,,,"Full Choke, Rifled Barrel","Assault Mag, Light Mag, Accurized Rounds",Opening Shot,"Demolitionist, One-Two Punch, Swashbuckler",Handling,PvP
,,,,,,,,,
