"Note: Perks are displayed in order of importance. Rows are PvE on top, PvP below",,,,,,,,,
,,,,,,,,,
Has no fill - primary ammo,,,,,,,,,
Has green fill - special ammo,,,,,,,,,
Has purple fill - heavy ammo,,,,,,,,,
,,,,,,,,,
Name,Type,Archetype,Element,Sights/Barrels,Magazine,Perk 1,Perk 2,Masterwork,Activity
Europa,,,,,,,,,
Hailing Confusion,Pulse Rifle,Adaptive,Kinetic,"Fluted Barrel, Smallbore, Hammer-Forged Rifling","Appended Mag, Extended Mag, Light Mag","Outlaw, Slideways, Surplus","Demolitionist, Quickdraw, Wellspring",Reload,PvE
,,,,"Hammer-Forged Rifling, Arrowhead Brake, Fluted Barrel","High-Caliber Rounds, Ricochet Rounds, Light Mag","Firmly Planted, Surplus","Quickdraw, Wellspring, Demolitionist",Range,PvP
,,,,,,,,,
High Albedo,Sidearm,Adaptive,Kinetic,"Fluted Barrel, Hammer-Forged Rifling, Corkscrew Rifling","Tactical Mag, Appended Mag, Extended Mag","Threat Detector, Killing Wind, Ambitious Assassin","Demolitionist, High-Impact Reserves, Wellspring",Range,PvE
,,,,"Hammer-Forged Rifling, Smallbore, Corkscrew Rifling","Accurized Rounds, Tactical Mag","Killing Wind, Full Auto Trigger System","Snapshot Sights, Demolitionist, Wellspring",Range,PvP
,,,,,,,,,
Arctic Haze,Auto Rifle,Rapid-Fire,Solar,"Arrowhead Brake, Smallbore, Corkscrew Rifling","Tactical Mag, Appended Mag, Extended Mag","Outlaw, Subsistence, Triple Tap","Vorpal Weapon, Thresh, Dragonfly",Reload,PvE
,,,,"Smallbore, Hammer-Forged Rifling, Arrowhead Brake","Accurized Rounds, Tactical Mag","Killing Wind, Outlaw","Eye of the Storm, Elemental Capacitor, Thresh",Range,PvP
,,,,,,,,,
Bonechiller,Shotgun,Precision(Slug),Void,"Fluted Barrel, Smallbore","Assault Mag, Tactical Mag, Appended Mag","Auto-Loading Holster, Lead from Gold, Triple Tap","Demolitionist, Dragonfly",Reload,PvE
,,,,"Corkscrew Rifling, Smallbore, Fluted Barrel","Assault Mag, Light Mag, Accurized Rounds","Firmly Planted, Surplus","Opening Shot, Demolitionist, Slideshot",Handling,PvP
,,,,,,,,,
Subzero Salvo,Rocket Launcher,Precision,Arc,"Linear Compensator, Smart Drift Control, Quick Launch","Impact Casing, Alloy Casing","Killing Wind, Quickdraw","Cluster Bomb, Chain Reaction, Demolitionist",Reload,PvE
,,,,"Volatile Launch, Confined Launch, Hard Launch","Impact Casing, Black Powder","Killing Wind, Quickdraw","Demolitionist, Cluster Bomb, Thresh",Blast Radius,PvP
,,,,,,,,,
,,,,,,,,,
Fallen Empire,,,,,,,,,
