"Note: Perks are displayed in order of importance. Rows are PvE on top, PvP below",,,,,,,,,
,,,,,,,,,
Has no fill - primary ammo,,,,,,,,,
Has green fill - special ammo,,,,,,,,,
Has purple fill - heavy ammo,,,,,,,,,
,,,,,,,,,
Name,Type,Archetype,Element,Sights/Barrels,Magazine,Perk 1,Perk 2,Masterwork,Activity
Gambit,,,,,,,,,
Bygones,Pulse Rifle,Adaptive,Kinetic,"Arrowhead Brake, Fluted Barrel, Smallbore","Appended Mag, Armor-Piercing Rounds, Extended Mag","Rampage, Kill Clip, High-Impact Reserves","Outlaw, Full Auto Trigger System",Reload,PvE
,,,,"Arrowhead Brake, Extended Barrel, Chambered Compensator","Ricochet Rounds, High-Caliber Rounds, Flared Magwell","Rangefinder, Rampage, High-Impact Reserves, Kill Clip","Slideshot, Outlaw, Full Auto Trigger System",Stability or Range,PvP
,,,,,,,,,
Dreaded Venture,Sniper Rifle,Aggressive,Kinetic,"Fluted Barrel, Arrowhead Brake, Smallbore","Tactical Mag, Appended Mag, Extended Mag","Triple Tap, Outlaw, Explosve Payload","Rapid Hit, Auto-Loading Holster",Reload,PvE
,,,,"Fluted Barrel, Arrowhead Brake, Smallbore","Accurized Rounds, Tactical Mag, Flared Magwell","Explosive Payload, Outlaw","Firmly Planted, Threat Detector",Handling,PvP
,,,,,,,,,
Hazard of the Cast,Auto Rifle,Precision,Kinetic,"Arrowhead Brake, Chambered Compensator, Smallbore","Appended Mag, Light Mag, High-Caliber Rounds","Triple Tap, Ambitious Assassin","Rampage, Kill Clip, Outlaw",Reload,PvE
,,,,"Arrowhead Brake, Extended Barrel, Chambered Compensator","High-Caliber Rounds, Ricochet Rounds, Light Mag","Tap the Trigger, Zen Moment","Quickdraw, Outlaw, Kill Clip",Stability,PvP
,,,,,,,,,
Parcel of Stardust,Shotgun,Lightweight,Kinetic,"Barrel Shroud, Corkscrew Rifling, Smallbore","Assault Mag, Appended Mag, Tactical Mag","Full Auto Trigger System, Threat Detector","Outlaw, Rampage",Reload,PvE
,,,,"Full Choke, Rifled Barrel","Assault Mag, Accurized Rounds","Opening Shot, Slideshot, Full Auto Trigger System","Moving Target, Rampage, Auto-Loading Holster",Handling,PvP
,,,,,,,,,
Pillager,Submachine Gun,Lightweight,Kinetic,"Fluted Barrel, Smallbore, Polygonal Rifling","High-Caliber Rounds, Appended Mag, Extended Mag","Outlaw, Zen Moment, Slideways","Rampage, Kill Clip, High-Impact Reserves",Reload,PvE
,,,,"Smallbore, Polygonal Rifling, Fluted Barrel","Ricochet Rounds, High-Caliber Rounds","Tap the Trigger, Zen Moment, Outlaw","Moving Target, Kill Clip, Rampage",Stability,PvP
,,,,,,,,,
Distant Relation,Scout Rifle,Precision,Solar,"Fluted Barrel, Arrowhead Brake, Smallbore","Tactical Mag, Appended Mag, Extended Mag","Triple Tap, Outlaw, Full Auto Trigger System","Explosive Payload, Ambitious Assassin",Reload,PvE
,,,,"Smallbore, Polygonal Rifling, Fluted Barrel","Steady Rounds, Tactical Mag, Accurized Rounds","Outlaw, Full Auto Trigger System, Zen Moment","Explosive Payload, Firmly Planted, Opening Shot, Moving Target",Stability,PvP
,,,,,,,,,
Trust,Hand Cannon,Precision,Solar,"Fluted Barrel, Smallbore, Polygonal Rifling","Tactical Mag, Appended Mag, Extended Mag","Outlaw, Dragonfly, Triple Tap","Rampage, Rapid Hit, Explosive Payload",Reload,PvE
,,,,"Smallbore, Polygonal Rifling","Accurized Rounds, Steady Rounds, Tactical Mag","Opening Shot, Outlaw","Rapid Hit, Explosive Payload, Zen Moment",Stability,PvP
,,,,,,,,,
Bad Omens,Rocket Launcher,Aggressive,Void,"Linear Compensator, Quick Launch, Contermass","High-Velocity Rounds, Black Powder, Alloy Casing","Field Prep, Auto-Loading Holster, Tracking Module","Cluster Bomb, Kill Clip",Reload,PvE
,,,,"Volatile Launch, Confined Launch, Linear Compensator","Black Powder, High-Velocity Rounds","Tracking Module, Snapshot Sights","Cluster Bomb, Quickdraw",Blast Radius,PvP
,,,,,,,,,
,,,,,,,,,
Dreaming City,,,,,,,,,
Tigerspite,Auto Rifle,Precision,Kinetic,"Fluted Barrel, Chambered Compensator, Smallbore","Appended Mag, Flared Magwell, Light Mag","Outlaw, Triple Tap, High-Impact Reserves",Kill Clip,Reload,PvE
,,,,"Smallbore, Hammer-Forged Rifling, Polygonal Rifling","High-Caliber Rounds, Ricochet Rounds","Tap the Trigger, Dynamic Sway Reduction","Quickdraw, Kill Clip",Stability or Range,PvP
,,,,,,,,,
Retold Tale,Shotgun,Precision,Void,"Barrel Shroud, Corkscrew Rifling, Smallbore","Assault Mag, Appended Mag, Tactical Mag","Auto-Loading Holster, Field Prep","Full Auto Trigger System, Grave Robber",Reload,PvE
,,,,"Full Choke, Rifled Barrel","Assault Mag, Light mag, Accurized Rounds","Quickdraw, Moving Target","Slideshot, Snapshot Sights",Handling,PvP
,,,,,,,,,
Twilight Oath,Sniper Rifle,Rapid-Fire,Solar,"Fluted Barrel, Arrowhead Brake, Corkscrew Rifling","Tactical Mag, Appended Mag, Flared Magwell","Rapid Hit, Ambitious Assassin","Box Breathing, Outlaw, Kill Clip, Dragonfly, Triple Tap",Reload,PvE
,,,,"Fluted Barrel, Hammer-Forged Rifling, Smallbore","Accurized Rounds, Tactical Mag","Opening Shot, Firmly Planted","Box Breathing, Outlaw",Handling,PvP
,,,,,,,,,
Vouchsafe,Scout Rifle,Lightweight,Void,"Fluted Barrel, Smallbore, Hammer-Forged Rifling","Tactical Mag, Appended Mag, Extended Mag","Full Auto Trigger System, Auto-Loading Holster","Rapid Hit, Outlaw, Triple Tap, Dragonfly",Reload,PvE
,,,,"Smallbore, Chambered Compensator, Extended Barrel","Accurized Rounds, Steady Rounds","Firmly Planted, Full Auto Trigger System","Explosive Payload, Rapid Hit",Stability,PvP
,,,,,,,,,
Waking Vigil,Hand Cannon,Lightweight,Arc,"Fastdraw HCS, Steadyhand HCS, Truesight HCS","Appended Mag, Extended Mag, Flared Magwell","Triple Tap, Zen Moment","Dragonfly, Outlaw",Reload,PvE
,,,,"Fastdraw HCS, Steadyhand HCS, Truesight HCS","Ricochet Rounds, High-Caliber Rounds","Opening Shot, Zen Moment","Slideshot, Snapshot Sights, Outlaw",Handling,PvP
,,,,,,,,,
Abide the Return,Sword,Adaptive,Solar,"Jagged Edge, Honed Edge, Tempered Edge","Burst Guard, Swordmaster's Guard, Balanced Guard",Relentless Strikes,Whirlwind Blade,Impact,PvE
,,,,"Jagged Edge, Honed Edge, Tempered Edge","Burst Guard, Swordmaster's Guard, Balanced Guard",Tireless Blade,"Assassin's Blade, En Garde",Impact,PvP
,,,,,,,,,
Sleepless,Rocket Launcher,High-Impact,Arc,"Quick Launch, Smart Drift Control, Hard Launch","Impact Casing, Alloy Casing","Kill Clip, Auto-Loading Holster",Cluster Bomb,Reload,PvE
,,,,"Volatile Launch, Confined Launch, Linear Compensator",Black Powder,Kill Clip,"Quickdraw, Cluster Bomb",Blast Radius,PvP
,,,,,,,,,
,,,,,,,,,
Tangled Shore,,,,,,,,,
Dust Rock Blues,Shotgun,Precision,Kinetic,"Barrel Shroud, Corkscrew Rifling, Smallbore","Assault Mag, Appended Mag, Tactical Mag","Slideshot, Field Prep","Rampage, Full Auto Trigger System, Grave Robber",Reload,PvE
,,,,"Full Choke, Rifled Barrel","Assault Mag, Light Mag, Accurized Rounds","Slideshot, Moving Target, Threat Detector",Snapshot Sights,Handling,PvP
,,,,,,,,,
Ether Doctor,Auto Rifle,Adaptive,Kinetic,"King Sight K1, Wolf Sight W1, Devil Scope D2","Appended Mag, Extended Mag, Flared Magwell","Zen Moment, Grave Robber, Quickdraw","Rampage, High-Impact Reserves",Reload,PvE
,,,,"Devil Scope D2, Dusk Scope D2, King Dot K2","High-Caliber Rounds, Ricochet Rounds","Tap the Trigger, Dynamic Sway Reduction, Quickdraw","Moving Target, Slideways",Range or Stability,PvP
,,,,,,,,,
No Turning Back,Combat Bow,Precision,Kinetic,High Tension String,Fiberglass Arrowshaft,"Explosive Head, Snapshot Sights",Hip-Fire Grip,Reload,PvE
,,,,High Tension String,Fiberglass Arrowshaft,"Snapshot Sights, Explosive Head",Hip-Fire Grip,Draw Time,PvP
,,,,,,,,,
Trackless Waste,Submachine Gun,Adaptive,Kinetic,"King Sight K1, Wolf Sight W1, Dusk Sight D1","Appended Mag, Extended Mag, Light Mag","Zen Moment, Slideways, Grave Robber","Kill Clip, Outlaw, High-Impact Reserves",Reload,PvE
,,,,"Wolf Dot K2, King Dot K2","High-Caliber Rounds, Ricochet Rounds","Tap the Trigger, Quickdraw","Kill Clip, Dynamic Sway Reduction, Outlaw",Range,PvP
,,,,,,,,,
