"All weapons are sorted by slot, and then alphanumeric. ",,,,,,,
Recommendations are in order of importance.,,,,,,,
Order is as follows:,"mkb,controller,pve",,,,,,
,"controller,pvp",,,,,,
Intro,"mkb,pvp",,,,,,
,,,,,,,
Name,Element,Sights/Barrels,Magazine,Perk 1,Perk 2,Masterwork,Tags
BrayTech Werewolf,Kinetic,"Fluted Barrel, Arrowhead Brake, Corkscrew Rifling","Armor-Piercing Rounds, Appended Mag, Extended Mag","Fourth Time's the Charm, Dynamic Sway Reduction","Vorpal Weapon, Swashbuckler, Unrelenting",Reload,"mkb,controller,pve"
,,"Fluted Barrel, Arrowhead Brake, Smallbore","Ricochet Rounds, High-Caliber Rounds","Dynamic Sway Reduction, Under Pressure, Slideshot","Tap the Trigger, Eye of the Storm",Stability or Handling,"controller,pvp"
,,"Fluted Barrel, Hammer-Forged Rifling, Smallbore","High-Caliber Rounds, Ricochet Rounds","Dynamic Sway Reduction, Slideshot","Tap the Trigger, Eye of the Storm",Handling,"mkb,pvp"
,,,,,,,
Chroma Rush,Kinetic,"Fluted Barrel, Arrowhead Brake, Corkscrew Rifling","Tactical Mag, Appended Mag, Extended Mag","Subsistence, Feeding Frenzy, Heating Up","Rampage, Adrenaline Junkie, Thresh, Wellspring",Reload,"mkb,controller,pve"
,,"Fluted Barrel, Arrowhead Brake, Smallbore","Accurized Rounds, Tactical Mag","Dynamic Sway Reduction, Moving Target, Tunnel Vision","Kill Clip, Tap the Trigger",Stability or Handling,"controller,pvp"
,,"Fluted Barrel, Hammer-Forged Rifling, Smallbore","Accurized Rounds, Tactical Mag","Moving Target, Tunnel Vision, Dynamic Sway Reduction","Kill Clip, Tap the Trigger",Handling,"mkb,pvp"
,,,,,,,
False Promises,Kinetic,"Fluted Barrel, Arrowhead Brake, Corkscrew Rifling","Armor-Piercing Rounds, Appended Mag, Extended Mag","Overflow, Subsistence, Feeding Frenzy","Rampage, Swashbuckler, Unrelenting",Reload,"mkb,controller,pve"
,,"Fluted Barrel, Arrowhead Brake, Smallbore","High-Caliber Rounds, Ricochet Rounds","Dynamic Sway Reduction, Overflow, Killing Wind","Eye of the Storm, Zen Moment, Swashbuckler",Stability or Handling,"controller,pvp"
,,"Fluted Barrel, Hammer-Forged Rifling, Smallbore","High-Caliber Rounds, Ricochet Rounds","Overflow, Dynamic Sway Reduction, Killing Wind","Eye of the Storm, Swashbuckler",Handling,"mkb,pvp"
,,,,,,,
Horror Story,Kinetic,"Hitmark IS, Cleanshot IS, Red Dot Micro","Tactical Mag, Appended Mag, Extended Mag","Subsistence, Outlaw, Ambitious Assassin","Demolitionist, Osmosis, Sympathetic Arsenal",Reload,"mkb,controller,pve"
,,"Red Dot Micro, Rifle Scope ST, Rifle Scope SSF","Accurized Rounds, Tactical Mag","Firmly Planted, Killing Wind","Moving Target, Snapshot Sights, Slideways",Stability or Handling,"controller,pvp"
,,"Red Dot Micro, Rifle Scope ST, Rifle Scope SSF","Accurized Rounds, Tactical Mag","Firmly Planted, Killing Wind","Moving Target, Snapshot Sights, Slideways",Handling,"mkb,pvp"
,,,,,,,
Scathelocke,Kinetic,"Fluted Barrel, Arrowhead Brake, Corkscrew Rifling","Tactical Mag, Appended Mag, Extended Mag","Subsistence, Surplus","Rampage, Adrenaline Junkie, Multikill Clip",Reload,"mkb,controller,pve"
,,"Fluted Barrel, Arrowhead Brake, Smallbore","Accurized Rounds, Tactical Mag","Heating Up, Under Pressure, Surplus","Eye of the Storm, Adrenaline Junkie",Stability or Handling,"controller,pvp"
,,"Fluted Barrel, Hammer-Forged Rifling, Smallbore","Accurized Rounds, Tactical Mag","Heating Up, Under Pressure, Surplus","Eye of the Storm, Adrenaline Junkie",Handling,"mkb,pvp"
,,,,,,,
Seventh Seraph Carbine,Kinetic,"Fluted Barrel, Arrowhead Brake, Corkscrew Rifling","Armor-Piercing Rounds, Appended Mag, Extended Mag","Fourth Time's the Charm, Auto-Loading Holster","Rampage, Swashbuckler, Vorpal Weapon",Reload,"mkb,controller,pve"
,,"Fluted Barrel, Arrowhead Brake, Smallbore","High-Caliber Rounds, Ricochet Rounds","Slideshot, Threat Detector","Moving Target, Rangefinder, Elemental Capacitor",Stability or Handling,"controller,pvp"
,,"Fluted Barrel, Hammer-Forged Rifling, Smallbore","High-Caliber Rounds, Ricochet Rounds","Slideshot, Threat Detector","Moving Target, Rangefinder, Elemental Capacitor",Handling,"mkb,pvp"
,,,,,,,
