"Note: Perks are displayed in order of importance. Rows are PvE on top, PvP below",,,,,,,,,
,,,,,,,,,
Has no fill - primary ammo,,,,,,,,,
Has green fill - special ammo,,,,,,,,,
Has purple fill - heavy ammo,,,,,,,,,
,,,,,,,,,
Name,Type,Archetype,Element,Sights/Barrels,Magazine,Perk 1,Perk 2,Masterwork,Activity
Ritual Weapons,,,,,,,,,
Exit Strategy,Submachine Gun,Adaptive,Kinetic,Arrowhead Brake,Ricochet Rounds,"Underdog, Threat Detector","Swashbuckler, Surrounded",Stability,PvE
,,,,Arrowhead Brake,Ricochet Rounds,"Underdog, Threat Detector","Swashbuckler, Surrounded",Stability,PvP
,,,,,,,,,
Randy's Throwing Knife,Scout Rifle,Rapid-Fire,Kinetic,Fluted Barrel,Extended Mag,"Rapid Hit, Snapshot Sights","Kill Clip, Zen Moment",Range,PvE
,,,,Fluted Barrel,Extended Mag,"Rapid Hit, Snapshot Sights","Kill Clip, Zen Moment",Range,PvP
,,,,,,,,,
Edgewise,Machine Gun,Rapid-Fire,Solar,Polygonal Rifling,Light Mag,"Field Prep, Feeding Frenzy","Demolitionist, Rampage",Stability,PvE
,,,,Polygonal Rifling,Light Mag,"Feeding Frenzy, Field Prep","Demolitionist, Rampage",Stability,PvP
,,,,,,,,,
,,,,,,,,,
Lecturn Weapons,,,,,,,,,
Loud Lullaby,Hand Cannon,Aggressive,Kinetic,"Fluted Barrel, Smallbore, Corkscrew Rifling","Tactical Mag, Appended Mag, Extended Mag","Outlaw, Subsistence","Multikill Clip, Rampage, Demolitionist",Reload,PvE
,,,,"Fluted Barrel, Polygonal Rifling, Smallbore","Tactical Mag, Steady Rounds, Flared Magwell",Outlaw,"Opening Shot, Explosive Rounds, Demolitionist",Handling,PvP
,,,,,,,,,
One Small Step,Shotgun,Rapid-Fire,Kinetic,"Barrel Shroud, Corkscrew Rifling, Smallbore","Tactical Mag, Appended Mag, Extended Mag","Grave Robber, Auto-Loading Holster","One-Two Punch, Rampage",Reload,PvE
,,,,"Full Choke, Rifled Barrel","Light Mag, Tactical Mag, Accurized Rounds","Quickdraw, Slideshot","Opening Shot, Snapshot Sights, One-Two Punch",Handling,PvP
,,,,,,,,,
Tranquility,Sniper Rifle,Adaptive,Kinetic,"Fluted Barrel, Corkscrew Rifling","Appended Mag, Extended Mag, Tactical Mag","Outlaw, Field Prep, Auto-Loading Holster","Firing Line, Fourth Time’s the Charm, Box Breathing",Reload,PvE
,,,,"Fluted Barrel, Arrowhead Brake, Corkscrew Rifling","Tactical Mag, Accurized Rounds","No Distractions, Outlaw","Snapshot Sights, Opening Shot",Handling,PvP
,,,,,,,,,
Arc Logic,Auto Rifle,Adaptive,Arc,"Fluted Barrel, Smallbore, Corkscrew Rifling","Tactical Mag, Extended Mag, Appended Mag","Overflow, Outlaw, Field Prep","Rampage, Demolitionist, Triple Tap",Reload,PvE
,,,,"Arrowhead Brake, Smallbore, Extended Barrel","Accurized Rounds, Steady Rounds, Tactical Mag","Moving Target, Overflow, Outlaw","Tap the Trigger, Rangefinder",Range or Stability,PvP
,,,,,,,,,
Dream Breaker,Fusion Rifle,Adaptive,Solar,"Fluted Barrel, Corkscrew Rifling","Enhanced Battery, Liquid Coils, Ionized Battery",Auto-Loading Holster,"Rampage, Disruption Break, Backup Plan",Reload,PvE
,,,,"Arrowhead Brake, Fluted Barrel, Hammer-Forged Rifling","Particle Repeater, Liquid Coils, Projection Fuse","Firmly Planted, Rangefinder, Moving Target","Tap the Trigger, Quickdraw",Range or Stability,PvP
,,,,,,,,,
Every Waking Moment,Submachine Gun,Precision,Void,"Fluted Barrel, Smallbore","Appended Mag, Extended Mag, Light Mag","Outlaw, Slideways","Swashbuckler, Kill Clip, Demolitionist",Reload,PvE
,,,,"Hammer-Forged Rifling, Smallbore, Polygonal Rifling","Ricochet Rounds, High-Caliber Rounds","Outlaw, Slideways, Zen Moment","Swashbuckler, Demolitionist, Eye of the Storm, Kill Clip",Range or Stability,PvP
,,,,,,,,,
A Fine Memorial,Machine Gun,Adaptive,Arc,"Fluted Barrel, Corkscrew Rifling","Appended Mag, Extended Mag, Light Mag","Quickdraw, Threat Detector","Surrounded, Demolitionist",Reload,PvE
,,,,"Fluted Barrel, Hammer-Forged Rifling, Smallbore","High-Caliber Rounds, Ricochet Rounds","Quickdraw, Moving Target","Tap the Trigger, Demolitionist",Stability or Range,PvP
,,,,,,,,,
