,,,,,,
Dire Promise,"Fastdraw HCS, Steadyhand HCS, Truesight HCS","Appended Mag, Armor-Piercing Rounds, High-Caliber Rounds","Overflow, Triple Tap, Auto-Loading Holster","Swashbuckler, Osmosis, Elemental Capacitor",pve,Reload
Dire Promise,"Fastdraw HCS, Steadyhand HCS, Hitmark HCS","High-Caliber Rounds, Ricochet Rounds, Flared Magwell","Opening Shot, Snapshot Sights, Overflow","Rangefinder, Elemental Capacitor, Swashbuckler",pvp,Handling
,,,,,,
Enigma's Draw,"Quickdot SAS, Control SAS, Shortspec SAS","Appended Mag, High-Caliber Rounds, Armor-Piercing Rounds","Full Auto Trigger System, Grave Robber, Triple Tap","Rapid Hit, Swashbuckler, Demolitionist",pve,Reload
Enigma's Draw,"Quickdot SAS, Control SAS, Tactic SAS","High-Caliber Rounds, Ricochet Rounds, Appended Mag","Opening Shot, Full Auto Trigger System, Zen Moment","Rangefinder, Rapid Hit, Demolitionist",pvp,Handling
,,,,,,
Escape Velocity,"IS 5 Circle, IS 2 Classic, Model 6 Loop","Tactical Mag, Appended Mag, Flared Magwell","Overflow, Grave Robber, Threat Detector","Quickdraw, Surrounded, Osmosis",pve,Reload
Escape Velocity,"Model 8 Red, IS 5 Circle, Model 6 Loop","Accurized Rounds, Tactical Mag, Steady Rounds","Overflow, Zen Moment, Threat Detector","Quickdraw, Vorpal Weapon, Elemental Capacitor",pvp,Range or Handling
,,,,,,
True Prophecy,"Fastdraw HCS, Steadyhand HCS, Truesight HCS","Tactical Mag, Appended Mag, Drop Mag","Overflow, Grave Robber","Rampage, Demolitionist, Elemental Capacitor",pve,Reload or Handling
True Prophecy,"Fastdraw HCS, Truesight HCS, Hitmark HCS","Tactical Mag, Steady Rounds, Accurized Rounds","Rangefinder, Opening Shot, Overflow","Timed Payload, Explosive Payload, Elemental Capacitor, Demolitionist",pvp,Handling
,,,,,,
Distant Tumulus,"Fluted Barrel, Arrowhead Brake, Corkscrew Rifling","Appended Mag, Extended Mag, Tactical Mag","Clown Cartridge, Lead from Gold, Dragonfly","Firing Line, Outlaw",pve,Reload
Distant Tumulus,"Fluted Barrel, Hammer Forged Rifling, Smallbore","Accurized Rounds, Tactical Mag, Flared Magwell","Dragonfly, Pulse Monitor","Snapshot Sights, Quickdraw",pvp,Handling or Range
,,,,,,
Jian 7 Rifle,"SPO-57 Front, SPO-28 Front, SLO-21 Post","High-Caliber Rounds, Armor-Piercing Rounds, Appended Mag","Disruption Break, Full Auto Trigger System, Grave Robber","Outlaw, Dragonfly, Rampage, Swashbuckler",pve,Reload
Jian 7 Rifle,"SPO-57 Front, SPO-28 Front, SLO-21 Post","High-Caliber Rounds, Ricochet Rounds, Light Mag","Firmly Planted, Full Auto Trigger System, Zen Moment","Rangefinder, Outlaw, Rampage",pvp,Range or Handling
,,,,,,
Timeline's Vertex,"Torch HS3, Candle PS, Spark PS","Enhanced Battery, Liquid Coils, Ionized Battery","Auto-Loading Holster, Lead from Gold, Field Prep","Disruption Break, Demolitionist, Elemental Capacitor",pve,Reload
Timeline's Vertex,"Torch HS3, Flash HS5","Particle Repeater, Liquid Coils",Firmly Planted,"Snapshot Sights, Demolitionist, Elemental Capacitor",pvp,Stability or Handling
,,,,,,
Honor's Edge,"Jagged Edge, Honed Edge, Tempered Edge","Swordmaster’s Guard, Burst Guard, Balanced Guard","Relentless Strikes, Tireless Blade","Surrounded, Counterattack, Flash Counter",pve,Impact
Honor's Edge,"Jagged Edge, Honed Edge, Tempered Edge","Burst Guard, Heavy Guard, Balanced Guard","Energy Transfer, Tireless Blade","En Garde, Shattering Blade, Counterattack",pvp,Impact
,,,,,,
Interference VI,"Quick Launch, Smart Drift Control, Hard Launch","Spike Grenades, Alloy Casing","Clown Cartridge, Field Prep, Auto Loading Holster","Full Court, Demolitionist, Swashbuckler",pve,Blast Radius or Velocity
Interference VI,"Volatile Launch, Confined Launch, Linear Compensator",Proximity Grenades,Auto-Loading Holster,"Demolitionist, Swashbuckler, Threat Detector",pvp,Blast Radius
,,,,,,
,,,,,,
,,,,,,
Seventh Seraph Carbine,"Fluted Barrel, Arrowhead Brake, Extended Barrel","High-Caliber Rounds, Appended Mag, Armor-Piercing Rounds","Fourth Time’s the Charm, Auto-Loading Holster","Rampage, Swashbuckler, Vorpal Weapon",pve,Reload
Seventh Seraph Carbine,"Hammer-Forged Rifling, Smallbore, Extended Barrel","High-Caliber Rounds, Ricochet Rounds, Light Mag","Slideshot, Threat Detector","Rangefinder, Moving Target, Elemental Capacitor, Vorpal Weapon",pvp,Range or Handling
,,,,,,
Seventh Seraph Officer Revolver,"Fluted Barrel, Corkscrew Rifling, Smallbore","Tactical Mag, Appended Mag, Extended Mag","Ambitious Assassin, Fourth Time’s the Charm, Threat Detector","Feeding Frenzy, Multikill Clip, High-Impact Reserves",pve,Reload or Handling
Seventh Seraph Officer Revolver,"Smallbore, Fluted Barrel, Corkscrew Rifling","Appended Mag, Tactical Mag, Steady Rounds","Firmly Planted, Threat Detector","Timed Payload, Feeding Frenzy, Vorpal Weapon",pvp,Handling
,,,,,,
Seventh Seraph CQC-12,"Barrel Shroud, Corkscrew Rifling, Smallbore","Assault Mag, Tactical Mag, Appended Mag","Auto-Loading Holster, Lead from Gold, Slideshot","Trench Barrel, Vorpal Weapon",pve,Reload
Seventh Seraph CQC-12,"Full Choke, Rifled Barrel","Assault Mag, Tactical Mag, Accurized Rounds","Quickdraw, Slideshot","Snapshot Sights, Vorpal Weapon",pvp,Handling or Reload
,,,,,,
